,Pclass,Sex,Age,SibSp,Parch,Survived
200,3,0,28.0,0,0,0
201,3,0,29.69911764705882,8,2,0
202,3,0,34.0,0,0,0
203,3,0,45.5,0,0,0
204,3,0,18.0,0,0,1
205,3,1,2.0,0,1,0
206,3,0,32.0,1,0,0
207,3,0,26.0,0,0,1
208,3,1,16.0,0,0,1
209,1,0,40.0,0,0,1
210,3,0,24.0,0,0,0
211,2,1,35.0,0,0,1
212,3,0,22.0,0,0,0
213,2,0,30.0,0,0,0
214,3,0,29.69911764705882,1,0,0
215,1,1,31.0,1,0,1
216,3,1,27.0,0,0,1
217,2,0,42.0,1,0,0
218,1,1,32.0,0,0,1
219,2,0,30.0,0,0,0
220,3,0,16.0,0,0,1
221,2,0,27.0,0,0,0
222,3,0,51.0,0,0,0
223,3,0,29.69911764705882,0,0,0
224,1,0,38.0,1,0,1
225,3,0,22.0,0,0,0
226,2,0,19.0,0,0,1
227,3,0,20.5,0,0,0
228,2,0,18.0,0,0,0
229,3,1,29.69911764705882,3,1,0
230,1,1,35.0,1,0,1
231,3,0,29.0,0,0,0
232,2,0,59.0,0,0,0
233,3,1,5.0,4,2,1
234,2,0,24.0,0,0,0
235,3,1,29.69911764705882,0,0,0
236,2,0,44.0,1,0,0
237,2,1,8.0,0,2,1
238,2,0,19.0,0,0,0
239,2,0,33.0,0,0,0
240,3,1,29.69911764705882,1,0,0
241,3,1,29.69911764705882,1,0,1
242,2,0,29.0,0,0,0
243,3,0,22.0,0,0,0
244,3,0,30.0,0,0,0
245,1,0,44.0,2,0,0
246,3,1,25.0,0,0,0
247,2,1,24.0,0,2,1
248,1,0,37.0,1,1,1
249,2,0,54.0,1,0,0
250,3,0,29.69911764705882,0,0,0
251,3,1,29.0,1,1,0
252,1,0,62.0,0,0,0
253,3,0,30.0,1,0,0
254,3,1,41.0,0,2,0
255,3,1,29.0,0,2,1
256,1,1,29.69911764705882,0,0,1
257,1,1,30.0,0,0,1
258,1,1,35.0,0,0,1
259,2,1,50.0,0,1,1
260,3,0,29.69911764705882,0,0,0
261,3,0,3.0,4,2,1
262,1,0,52.0,1,1,0
263,1,0,40.0,0,0,0
264,3,1,29.69911764705882,0,0,0
265,2,0,36.0,0,0,0
266,3,0,16.0,4,1,0
267,3,0,25.0,1,0,1
268,1,1,58.0,0,1,1
269,1,1,35.0,0,0,1
270,1,0,29.69911764705882,0,0,0
271,3,0,25.0,0,0,1
272,2,1,41.0,0,1,1
273,1,0,37.0,0,1,0
274,3,1,29.69911764705882,0,0,1
275,1,1,63.0,1,0,1
276,3,1,45.0,0,0,0
277,2,0,29.69911764705882,0,0,0
278,3,0,7.0,4,1,0
279,3,1,35.0,1,1,1
280,3,0,65.0,0,0,0
281,3,0,28.0,0,0,0
282,3,0,16.0,0,0,0
283,3,0,19.0,0,0,1
284,1,0,29.69911764705882,0,0,0
285,3,0,33.0,0,0,0
286,3,0,30.0,0,0,1
287,3,0,22.0,0,0,0
288,2,0,42.0,0,0,1
289,3,1,22.0,0,0,1
290,1,1,26.0,0,0,1
291,1,1,19.0,1,0,1
292,2,0,36.0,0,0,0
293,3,1,24.0,0,0,0
294,3,0,24.0,0,0,0
295,1,0,29.69911764705882,0,0,0
296,3,0,23.5,0,0,0
297,1,1,2.0,1,2,0
298,1,0,29.69911764705882,0,0,1
299,1,1,50.0,0,1,1
300,3,1,29.69911764705882,0,0,1
301,3,0,29.69911764705882,2,0,1
302,3,0,19.0,0,0,0
303,2,1,29.69911764705882,0,0,1
304,3,0,29.69911764705882,0,0,0
305,1,0,0.92,1,2,1
306,1,1,29.69911764705882,0,0,1
307,1,1,17.0,1,0,1
308,2,0,30.0,1,0,0
309,1,1,30.0,0,0,1
310,1,1,24.0,0,0,1
311,1,1,18.0,2,2,1
312,2,1,26.0,1,1,0
313,3,0,28.0,0,0,0
314,2,0,43.0,1,1,0
315,3,1,26.0,0,0,1
316,2,1,24.0,1,0,1
317,2,0,54.0,0,0,0
318,1,1,31.0,0,2,1
319,1,1,40.0,1,1,1
320,3,0,22.0,0,0,0
321,3,0,27.0,0,0,0
322,2,1,30.0,0,0,1
323,2,1,22.0,1,1,1
324,3,0,29.69911764705882,8,2,0
325,1,1,36.0,0,0,1
326,3,0,61.0,0,0,0
327,2,1,36.0,0,0,1
328,3,1,31.0,1,1,1
329,1,1,16.0,0,1,1
330,3,1,29.69911764705882,2,0,1
331,1,0,45.5,0,0,0
332,1,0,38.0,0,1,0
333,3,0,16.0,2,0,0
334,1,1,29.69911764705882,1,0,1
335,3,0,29.69911764705882,0,0,0
336,1,0,29.0,1,0,0
337,1,1,41.0,0,0,1
338,3,0,45.0,0,0,1
339,1,0,45.0,0,0,0
340,2,0,2.0,1,1,1
341,1,1,24.0,3,2,1
342,2,0,28.0,0,0,0
343,2,0,25.0,0,0,0
344,2,0,36.0,0,0,0
345,2,1,24.0,0,0,1
346,2,1,40.0,0,0,1
347,3,1,29.69911764705882,1,0,1
348,3,0,3.0,1,1,1
349,3,0,42.0,0,0,0
350,3,0,23.0,0,0,0
351,1,0,29.69911764705882,0,0,0
352,3,0,15.0,1,1,0
353,3,0,25.0,1,0,0
354,3,0,29.69911764705882,0,0,0
355,3,0,28.0,0,0,0
356,1,1,22.0,0,1,1
357,2,1,38.0,0,0,0
358,3,1,29.69911764705882,0,0,1
359,3,1,29.69911764705882,0,0,1
360,3,0,40.0,1,4,0
361,2,0,29.0,1,0,0
362,3,1,45.0,0,1,0
363,3,0,35.0,0,0,0
364,3,0,29.69911764705882,1,0,0
365,3,0,30.0,0,0,0
366,1,1,60.0,1,0,1
367,3,1,29.69911764705882,0,0,1
368,3,1,29.69911764705882,0,0,1
369,1,1,24.0,0,0,1
370,1,0,25.0,1,0,1
371,3,0,18.0,1,0,0
372,3,0,19.0,0,0,0
373,1,0,22.0,0,0,0
374,3,1,3.0,3,1,0
375,1,1,29.69911764705882,1,0,1
376,3,1,22.0,0,0,1
377,1,0,27.0,0,2,0
378,3,0,20.0,0,0,0
379,3,0,19.0,0,0,0
380,1,1,42.0,0,0,1
381,3,1,1.0,0,2,1
382,3,0,32.0,0,0,0
383,1,1,35.0,1,0,1
384,3,0,29.69911764705882,0,0,0
385,2,0,18.0,0,0,0
386,3,0,1.0,5,2,0
387,2,1,36.0,0,0,1
388,3,0,29.69911764705882,0,0,0
389,2,1,17.0,0,0,1
390,1,0,36.0,1,2,1
391,3,0,21.0,0,0,1
392,3,0,28.0,2,0,0
393,1,1,23.0,1,0,1
394,3,1,24.0,0,2,1
395,3,0,22.0,0,0,0
396,3,1,31.0,0,0,0
397,2,0,46.0,0,0,0
398,2,0,23.0,0,0,0
399,2,1,28.0,0,0,1
400,3,0,39.0,0,0,1
401,3,0,26.0,0,0,0
402,3,1,21.0,1,0,0
403,3,0,28.0,1,0,0
404,3,1,20.0,0,0,0
405,2,0,34.0,1,0,0
406,3,0,51.0,0,0,0
407,2,0,3.0,1,1,1
408,3,0,21.0,0,0,0
409,3,1,29.69911764705882,3,1,0
410,3,0,29.69911764705882,0,0,0
411,3,0,29.69911764705882,0,0,0
412,1,1,33.0,1,0,1
413,2,0,29.69911764705882,0,0,0
414,3,0,44.0,0,0,1
415,3,1,29.69911764705882,0,0,0
416,2,1,34.0,1,1,1
417,2,1,18.0,0,2,1
418,2,0,30.0,0,0,0
419,3,1,10.0,0,2,0
420,3,0,29.69911764705882,0,0,0
421,3,0,21.0,0,0,0
422,3,0,29.0,0,0,0
423,3,1,28.0,1,1,0
424,3,0,18.0,1,1,0
425,3,0,29.69911764705882,0,0,0
426,2,1,28.0,1,0,1
427,2,1,19.0,0,0,1
428,3,0,29.69911764705882,0,0,0
429,3,0,32.0,0,0,1
430,1,0,28.0,0,0,1
431,3,1,29.69911764705882,1,0,1
432,2,1,42.0,1,0,1
433,3,0,17.0,0,0,0
434,1,0,50.0,1,0,0
435,1,1,14.0,1,2,1
436,3,1,21.0,2,2,0
437,2,1,24.0,2,3,1
438,1,0,64.0,1,4,0
439,2,0,31.0,0,0,0
440,2,1,45.0,1,1,1
441,3,0,20.0,0,0,0
442,3,0,25.0,1,0,0
443,2,1,28.0,0,0,1
444,3,0,29.69911764705882,0,0,1
445,1,0,4.0,0,2,1
446,2,1,13.0,0,1,1
447,1,0,34.0,0,0,1
448,3,1,5.0,2,1,1
449,1,0,52.0,0,0,1
450,2,0,36.0,1,2,0
451,3,0,29.69911764705882,1,0,0
452,1,0,30.0,0,0,0
453,1,0,49.0,1,0,1
454,3,0,29.69911764705882,0,0,0
455,3,0,29.0,0,0,1
456,1,0,65.0,0,0,0
457,1,1,29.69911764705882,1,0,1
458,2,1,50.0,0,0,1
459,3,0,29.69911764705882,0,0,0
460,1,0,48.0,0,0,1
461,3,0,34.0,0,0,0
462,1,0,47.0,0,0,0
463,2,0,48.0,0,0,0
464,3,0,29.69911764705882,0,0,0
465,3,0,38.0,0,0,0
466,2,0,29.69911764705882,0,0,0
467,1,0,56.0,0,0,0
468,3,0,29.69911764705882,0,0,0
469,3,1,0.75,2,1,1
470,3,0,29.69911764705882,0,0,0
471,3,0,38.0,0,0,0
472,2,1,33.0,1,2,1
473,2,1,23.0,0,0,1
474,3,1,22.0,0,0,0
475,1,0,29.69911764705882,0,0,0
476,2,0,34.0,1,0,0
477,3,0,29.0,1,0,0
478,3,0,22.0,0,0,0
479,3,1,2.0,0,1,1
480,3,0,9.0,5,2,0
481,2,0,29.69911764705882,0,0,0
482,3,0,50.0,0,0,0
483,3,1,63.0,0,0,1
484,1,0,25.0,1,0,1
485,3,1,29.69911764705882,3,1,0
486,1,1,35.0,1,0,1
487,1,0,58.0,0,0,0
488,3,0,30.0,0,0,0
489,3,0,9.0,1,1,1
490,3,0,29.69911764705882,1,0,0
491,3,0,21.0,0,0,0
492,1,0,55.0,0,0,0
493,1,0,71.0,0,0,0
494,3,0,21.0,0,0,0
495,3,0,29.69911764705882,0,0,0
496,1,1,54.0,1,0,1
497,3,0,29.69911764705882,0,0,0
498,1,1,25.0,1,2,0
499,3,0,24.0,0,0,0
500,3,0,17.0,0,0,0
501,3,1,21.0,0,0,0
502,3,1,29.69911764705882,0,0,0
503,3,1,37.0,0,0,0
504,1,1,16.0,0,0,1
505,1,0,18.0,1,0,0
506,2,1,33.0,0,2,1
507,1,0,29.69911764705882,0,0,1
508,3,0,28.0,0,0,0
509,3,0,26.0,0,0,1
510,3,0,29.0,0,0,1
511,3,0,29.69911764705882,0,0,0
512,1,0,36.0,0,0,1
513,1,1,54.0,1,0,1
514,3,0,24.0,0,0,0
515,1,0,47.0,0,0,0
516,2,1,34.0,0,0,1
517,3,0,29.69911764705882,0,0,0
518,2,1,36.0,1,0,1
519,3,0,32.0,0,0,0
520,1,1,30.0,0,0,1
521,3,0,22.0,0,0,0
522,3,0,29.69911764705882,0,0,0
523,1,1,44.0,0,1,1
524,3,0,29.69911764705882,0,0,0
525,3,0,40.5,0,0,0
526,2,1,50.0,0,0,1
527,1,0,29.69911764705882,0,0,0
528,3,0,39.0,0,0,0
529,2,0,23.0,2,1,0
530,2,1,2.0,1,1,1
531,3,0,29.69911764705882,0,0,0
532,3,0,17.0,1,1,0
533,3,1,29.69911764705882,0,2,1
534,3,1,30.0,0,0,0
535,2,1,7.0,0,2,1
536,1,0,45.0,0,0,0
537,1,1,30.0,0,0,1
538,3,0,29.69911764705882,0,0,0
539,1,1,22.0,0,2,1
540,1,1,36.0,0,2,1
541,3,1,9.0,4,2,0
542,3,1,11.0,4,2,0
543,2,0,32.0,1,0,1
544,1,0,50.0,1,0,0
545,1,0,64.0,0,0,0
546,2,1,19.0,1,0,1
547,2,0,29.69911764705882,0,0,1
548,3,0,33.0,1,1,0
549,2,0,8.0,1,1,1
550,1,0,17.0,0,2,1
551,2,0,27.0,0,0,0
552,3,0,29.69911764705882,0,0,0
553,3,0,22.0,0,0,1
554,3,1,22.0,0,0,1
555,1,0,62.0,0,0,0
556,1,1,48.0,1,0,1
557,1,0,29.69911764705882,0,0,0
558,1,1,39.0,1,1,1
559,3,1,36.0,1,0,1
560,3,0,29.69911764705882,0,0,0
561,3,0,40.0,0,0,0
562,2,0,28.0,0,0,0
563,3,0,29.69911764705882,0,0,0
564,3,1,29.69911764705882,0,0,0
565,3,0,24.0,2,0,0
566,3,0,19.0,0,0,0
567,3,1,29.0,0,4,0
568,3,0,29.69911764705882,0,0,0
569,3,0,32.0,0,0,1
570,2,0,62.0,0,0,1
571,1,1,53.0,2,0,1
572,1,0,36.0,0,0,1
573,3,1,29.69911764705882,0,0,1
574,3,0,16.0,0,0,0
575,3,0,19.0,0,0,0
576,2,1,34.0,0,0,1
577,1,1,39.0,1,0,1
578,3,1,29.69911764705882,1,0,0
579,3,0,32.0,0,0,1
580,2,1,25.0,1,1,1
581,1,1,39.0,1,1,1
582,2,0,54.0,0,0,0
583,1,0,36.0,0,0,0
584,3,0,29.69911764705882,0,0,0
585,1,1,18.0,0,2,1
586,2,0,47.0,0,0,0
587,1,0,60.0,1,1,1
588,3,0,22.0,0,0,0
589,3,0,29.69911764705882,0,0,0
590,3,0,35.0,0,0,0
591,1,1,52.0,1,0,1
592,3,0,47.0,0,0,0
593,3,1,29.69911764705882,0,2,0
594,2,0,37.0,1,0,0
595,3,0,36.0,1,1,0
596,2,1,29.69911764705882,0,0,1
597,3,0,49.0,0,0,0
598,3,0,29.69911764705882,0,0,0
599,1,0,49.0,1,0,1
600,2,1,24.0,2,1,1
601,3,0,29.69911764705882,0,0,0
602,1,0,29.69911764705882,0,0,0
603,3,0,44.0,0,0,0
604,1,0,35.0,0,0,1
605,3,0,36.0,1,0,0
606,3,0,30.0,0,0,0
607,1,0,27.0,0,0,1
608,2,1,22.0,1,2,1
609,1,1,40.0,0,0,1
610,3,1,39.0,1,5,0
611,3,0,29.69911764705882,0,0,0
612,3,1,29.69911764705882,1,0,1
613,3,0,29.69911764705882,0,0,0
614,3,0,35.0,0,0,0
615,2,1,24.0,1,2,1
616,3,0,34.0,1,1,0
617,3,1,26.0,1,0,0
618,2,1,4.0,2,1,1
619,2,0,26.0,0,0,0
620,3,0,27.0,1,0,0
621,1,0,42.0,1,0,1
622,3,0,20.0,1,1,1
623,3,0,21.0,0,0,0
624,3,0,21.0,0,0,0
625,1,0,61.0,0,0,0
626,2,0,57.0,0,0,0
627,1,1,21.0,0,0,1
628,3,0,26.0,0,0,0
629,3,0,29.69911764705882,0,0,0
630,1,0,80.0,0,0,1
631,3,0,51.0,0,0,0
632,1,0,32.0,0,0,1
633,1,0,29.69911764705882,0,0,0
634,3,1,9.0,3,2,0
635,2,1,28.0,0,0,1
636,3,0,32.0,0,0,0
637,2,0,31.0,1,1,0
638,3,1,41.0,0,5,0
639,3,0,29.69911764705882,1,0,0
640,3,0,20.0,0,0,0
641,1,1,24.0,0,0,1
642,3,1,2.0,3,2,0
643,3,0,29.69911764705882,0,0,1
644,3,1,0.75,2,1,1
645,1,0,48.0,1,0,1
646,3,0,19.0,0,0,0
647,1,0,56.0,0,0,1
648,3,0,29.69911764705882,0,0,0
649,3,1,23.0,0,0,1
650,3,0,29.69911764705882,0,0,0
651,2,1,18.0,0,1,1
652,3,0,21.0,0,0,0
653,3,1,29.69911764705882,0,0,1
654,3,1,18.0,0,0,0
655,2,0,24.0,2,0,0
656,3,0,29.69911764705882,0,0,0
657,3,1,32.0,1,1,0
658,2,0,23.0,0,0,0
659,1,0,58.0,0,2,0
660,1,0,50.0,2,0,1
661,3,0,40.0,0,0,0
662,1,0,47.0,0,0,0
663,3,0,36.0,0,0,0
664,3,0,20.0,1,0,1
665,2,0,32.0,2,0,0
666,2,0,25.0,0,0,0
667,3,0,29.69911764705882,0,0,0
668,3,0,43.0,0,0,0
669,1,1,29.69911764705882,1,0,1
670,2,1,40.0,1,1,1
671,1,0,31.0,1,0,0
672,2,0,70.0,0,0,0
673,2,0,31.0,0,0,1
674,2,0,29.69911764705882,0,0,0
675,3,0,18.0,0,0,0
676,3,0,24.5,0,0,0
677,3,1,18.0,0,0,1
678,3,1,43.0,1,6,0
679,1,0,36.0,0,1,1
680,3,1,29.69911764705882,0,0,0
681,1,0,27.0,0,0,1
682,3,0,20.0,0,0,0
683,3,0,14.0,5,2,0
684,2,0,60.0,1,1,0
685,2,0,25.0,1,2,0
686,3,0,14.0,4,1,0
687,3,0,19.0,0,0,0
688,3,0,18.0,0,0,0
689,1,1,15.0,0,1,1
690,1,0,31.0,1,0,1
691,3,1,4.0,0,1,1
692,3,0,29.69911764705882,0,0,1
693,3,0,25.0,0,0,0
694,1,0,60.0,0,0,0
695,2,0,52.0,0,0,0
696,3,0,44.0,0,0,0
697,3,1,29.69911764705882,0,0,1
698,1,0,49.0,1,1,0
699,3,0,42.0,0,0,0
700,1,1,18.0,1,0,1
701,1,0,35.0,0,0,1
702,3,1,18.0,0,1,0
703,3,0,25.0,0,0,0
704,3,0,26.0,1,0,0
705,2,0,39.0,0,0,0
706,2,1,45.0,0,0,1
707,1,0,42.0,0,0,1
708,1,1,22.0,0,0,1
709,3,0,29.69911764705882,1,1,1
710,1,1,24.0,0,0,1
711,1,0,29.69911764705882,0,0,0
712,1,0,48.0,1,0,1
713,3,0,29.0,0,0,0
714,2,0,52.0,0,0,0
715,3,0,19.0,0,0,0
716,1,1,38.0,0,0,1
717,2,1,27.0,0,0,1
718,3,0,29.69911764705882,0,0,0
719,3,0,33.0,0,0,0
720,2,1,6.0,0,1,1
721,3,0,17.0,1,0,0
722,2,0,34.0,0,0,0
723,2,0,50.0,0,0,0
724,1,0,27.0,1,0,1
725,3,0,20.0,0,0,0
726,2,1,30.0,3,0,1
727,3,1,29.69911764705882,0,0,1
728,2,0,25.0,1,0,0
729,3,1,25.0,1,0,0
730,1,1,29.0,0,0,1
731,3,0,11.0,0,0,0
732,2,0,29.69911764705882,0,0,0
733,2,0,23.0,0,0,0
734,2,0,23.0,0,0,0
735,3,0,28.5,0,0,0
736,3,1,48.0,1,3,0
737,1,0,35.0,0,0,1
738,3,0,29.69911764705882,0,0,0
739,3,0,29.69911764705882,0,0,0
740,1,0,29.69911764705882,0,0,1
741,1,0,36.0,1,0,0
742,1,1,21.0,2,2,1
743,3,0,24.0,1,0,0
744,3,0,31.0,0,0,1
745,1,0,70.0,1,1,0
746,3,0,16.0,1,1,0
747,2,1,30.0,0,0,1
748,1,0,19.0,1,0,0
749,3,0,31.0,0,0,0
750,2,1,4.0,1,1,1
751,3,0,6.0,0,1,1
752,3,0,33.0,0,0,0
753,3,0,23.0,0,0,0
754,2,1,48.0,1,2,1
755,2,0,0.67,1,1,1
756,3,0,28.0,0,0,0
757,2,0,18.0,0,0,0
758,3,0,34.0,0,0,0
759,1,1,33.0,0,0,1
760,3,0,29.69911764705882,0,0,0
761,3,0,41.0,0,0,0
762,3,0,20.0,0,0,1
763,1,1,36.0,1,2,1
764,3,0,16.0,0,0,0
765,1,1,51.0,1,0,1
766,1,0,29.69911764705882,0,0,0
767,3,1,30.5,0,0,0
768,3,0,29.69911764705882,1,0,0
769,3,0,32.0,0,0,0
770,3,0,24.0,0,0,0
771,3,0,48.0,0,0,0
772,2,1,57.0,0,0,0
773,3,0,29.69911764705882,0,0,0
774,2,1,54.0,1,3,1
775,3,0,18.0,0,0,0
776,3,0,29.69911764705882,0,0,0
777,3,1,5.0,0,0,1
778,3,0,29.69911764705882,0,0,0
779,1,1,43.0,0,1,1
780,3,1,13.0,0,0,1
781,1,1,17.0,1,0,1
782,1,0,29.0,0,0,0
783,3,0,29.69911764705882,1,2,0
784,3,0,25.0,0,0,0
785,3,0,25.0,0,0,0
786,3,1,18.0,0,0,1
787,3,0,8.0,4,1,0
788,3,0,1.0,1,2,1
789,1,0,46.0,0,0,0
790,3,0,29.69911764705882,0,0,0
791,2,0,16.0,0,0,0
792,3,1,29.69911764705882,8,2,0
793,1,0,29.69911764705882,0,0,0
794,3,0,25.0,0,0,0
795,2,0,39.0,0,0,0
796,1,1,49.0,0,0,1
797,3,1,31.0,0,0,1
798,3,0,30.0,0,0,0
799,3,1,30.0,1,1,0
800,2,0,34.0,0,0,0
801,2,1,31.0,1,1,1
802,1,0,11.0,1,2,1
803,3,0,0.42,0,1,1
804,3,0,27.0,0,0,1
805,3,0,31.0,0,0,0
806,1,0,39.0,0,0,0
807,3,1,18.0,0,0,0
808,2,0,39.0,0,0,0
809,1,1,33.0,1,0,1
810,3,0,26.0,0,0,0
811,3,0,39.0,0,0,0
812,2,0,35.0,0,0,0
813,3,1,6.0,4,2,0
814,3,0,30.5,0,0,0
815,1,0,29.69911764705882,0,0,0
816,3,1,23.0,0,0,0
817,2,0,31.0,1,1,0
818,3,0,43.0,0,0,0
819,3,0,10.0,3,2,0
820,1,1,52.0,1,1,1
821,3,0,27.0,0,0,1
822,1,0,38.0,0,0,0
823,3,1,27.0,0,1,1
824,3,0,2.0,4,1,0
825,3,0,29.69911764705882,0,0,0
826,3,0,29.69911764705882,0,0,0
827,2,0,1.0,0,2,1
828,3,0,29.69911764705882,0,0,1
829,1,1,62.0,0,0,1
